frame_path,phase,split
data/synthetic_frames/video01/frame_000013.jpg,CalotTriangleDissection,train
data/synthetic_frames/video02/frame_000006.jpg,Preparation,val
data/synthetic_frames/video02/frame_000009.jpg,CalotTriangleDissection,train
data/synthetic_frames/video01/frame_000040.jpg,CleaningCoagulation,val
data/synthetic_frames/video03/frame_000053.jpg,GallbladderRetraction,train
data/synthetic_frames/video01/frame_000011.jpg,CalotTriangleDissection,train
data/synthetic_frames/video02/frame_000001.jpg,Preparation,train
data/synthetic_frames/video02/frame_000013.jpg,CalotTriangleDissection,val
data/synthetic_frames/video03/frame_000003.jpg,Preparation,val
data/synthetic_frames/video03/frame_000033.jpg,GallbladderPackaging,train
data/synthetic_frames/video03/frame_000051.jpg,GallbladderRetraction,train
data/synthetic_frames/video01/frame_000030.jpg,GallbladderDissection,train
data/synthetic_frames/video01/frame_000028.jpg,GallbladderDissection,train
data/synthetic_frames/video03/frame_000041.jpg,CleaningCoagulation,train
data/synthetic_frames/video03/frame_000005.jpg,Preparation,train
data/synthetic_frames/video03/frame_000039.jpg,GallbladderPackaging,train
data/synthetic_frames/video01/frame_000008.jpg,CalotTriangleDissection,val
data/synthetic_frames/video03/frame_000028.jpg,GallbladderDissection,train
data/synthetic_frames/video03/frame_000029.jpg,GallbladderDissection,train
data/synthetic_frames/video01/frame_000041.jpg,CleaningCoagulation,train
data/synthetic_frames/video02/frame_000037.jpg,GallbladderPackaging,train
data/synthetic_frames/video01/frame_000031.jpg,GallbladderDissection,train
data/synthetic_frames/video02/frame_000029.jpg,GallbladderDissection,train
data/synthetic_frames/video03/frame_000014.jpg,CalotTriangleDissection,train
data/synthetic_frames/video01/frame_000000.jpg,Preparation,train
data/synthetic_frames/video02/frame_000046.jpg,CleaningCoagulation,test
data/synthetic_frames/video01/frame_000023.jpg,ClippingCutting,train
data/synthetic_frames/video01/frame_000003.jpg,Preparation,test
data/synthetic_frames/video01/frame_000015.jpg,CalotTriangleDissection,train
data/synthetic_frames/video03/frame_000052.jpg,GallbladderRetraction,train
data/synthetic_frames/video03/frame_000021.jpg,ClippingCutting,train
data/synthetic_frames/video03/frame_000001.jpg,Preparation,train
data/synthetic_frames/video03/frame_000047.jpg,CleaningCoagulation,train
data/synthetic_frames/video01/frame_000052.jpg,GallbladderRetraction,train
data/synthetic_frames/video02/frame_000024.jpg,GallbladderDissection,train
data/synthetic_frames/video02/frame_000055.jpg,GallbladderRetraction,train
data/synthetic_frames/video02/frame_000034.jpg,GallbladderPackaging,train
data/synthetic_frames/video03/frame_000034.jpg,GallbladderPackaging,train
data/synthetic_frames/video03/frame_000008.jpg,CalotTriangleDissection,test
data/synthetic_frames/video02/frame_000028.jpg,GallbladderDissection,test
data/synthetic_frames/video01/frame_000018.jpg,ClippingCutting,train
data/synthetic_frames/video01/frame_000025.jpg,GallbladderDissection,test
data/synthetic_frames/video02/frame_000023.jpg,ClippingCutting,train
data/synthetic_frames/video01/frame_000037.jpg,GallbladderPackaging,train
data/synthetic_frames/video03/frame_000024.jpg,GallbladderDissection,val
data/synthetic_frames/video02/frame_000008.jpg,CalotTriangleDissection,train
data/synthetic_frames/video01/frame_000024.jpg,GallbladderDissection,train
data/synthetic_frames/video03/frame_000042.jpg,CleaningCoagulation,val
data/synthetic_frames/video02/frame_000016.jpg,ClippingCutting,test
data/synthetic_frames/video01/frame_000035.jpg,GallbladderPackaging,train
data/synthetic_frames/video03/frame_000017.jpg,ClippingCutting,val
data/synthetic_frames/video01/frame_000055.jpg,GallbladderRetraction,test
data/synthetic_frames/video03/frame_000037.jpg,GallbladderPackaging,test
data/synthetic_frames/video02/frame_000035.jpg,GallbladderPackaging,train
data/synthetic_frames/video03/frame_000010.jpg,CalotTriangleDissection,train
data/synthetic_frames/video02/frame_000021.jpg,ClippingCutting,train
data/synthetic_frames/video02/frame_000047.jpg,CleaningCoagulation,test
data/synthetic_frames/video03/frame_000012.jpg,CalotTriangleDissection,test
data/synthetic_frames/video03/frame_000018.jpg,ClippingCutting,train
data/synthetic_frames/video02/frame_000010.jpg,CalotTriangleDissection,val
data/synthetic_frames/video01/frame_000010.jpg,CalotTriangleDissection,train
data/synthetic_frames/video02/frame_000051.jpg,GallbladderRetraction,test
data/synthetic_frames/video02/frame_000042.jpg,CleaningCoagulation,test
